indicator,order,level,english,top,group,ai_post_relative_change,std_error,lower,upper,outcome,eng_var,top_var,model_fe_type,n,r2
ins,first,300,0,0,"Non-English, less-established",0.08161111568719356,0.0019296218754329532,0.07782912630756435,0.08539310506682278,ai_use_intro_discussion,english_first,first_top300_ins,journal + subfield,1999465,0.19365921958744914
ins,first,300,0,1,"Non-English, more-established",0.06311112329873288,0.001245055467906048,0.060670859422882355,0.06555138717458339,ai_use_intro_discussion,english_first,first_top300_ins,journal + subfield,1999465,0.19365921958744914
ins,first,300,1,0,"English, less-established",0.07105117325917744,0.0028447853124320887,0.06547549650306202,0.07662685001529286,ai_use_intro_discussion,english_first,first_top300_ins,journal + subfield,1999465,0.19365921958744914
ins,first,300,1,1,"English, more-established",0.044260176019560594,0.0014919243880663461,0.041336057951293595,0.047184294087827594,ai_use_intro_discussion,english_first,first_top300_ins,journal + subfield,1999465,0.19365921958744914
ins,last,100,0,0,"Non-English, less-established",0.07889423692867431,0.0016912993141391715,0.07557935118588424,0.08220912267146438,ai_use_intro_discussion,english_last,last_top100_ins,journal + subfield,1949124,0.1924620740950872
ins,last,100,0,1,"Non-English, more-established",0.05964558194018035,0.0013078678332675564,0.05708220809043751,0.0622089557899232,ai_use_intro_discussion,english_last,last_top100_ins,journal + subfield,1949124,0.1924620740950872
ins,last,100,1,0,"English, less-established",0.06695561417893084,0.0027245006513875445,0.061615691026355335,0.07229553733150634,ai_use_intro_discussion,english_last,last_top100_ins,journal + subfield,1949124,0.1924620740950872
ins,last,100,1,1,"English, more-established",0.03960253735022805,0.0013343899418029829,0.036987181122961704,0.04221789357749439,ai_use_intro_discussion,english_last,last_top100_ins,journal + subfield,1949124,0.1924620740950872
ins,last,200,0,0,"Non-English, less-established",0.08056701656444482,0.0017846387959578058,0.0770691887989546,0.08406484432993504,ai_use_intro_discussion,english_last,last_top200_ins,journal + subfield,1949124,0.19282331135362885
ins,last,200,0,1,"Non-English, more-established",0.0627681139522475,0.0012098962618319825,0.060396760854027176,0.06513946705046783,ai_use_intro_discussion,english_last,last_top200_ins,journal + subfield,1949124,0.19282331135362885
ins,last,200,1,0,"English, less-established",0.06891723417059556,0.002831105739258246,0.06336836888522475,0.07446609945596637,ai_use_intro_discussion,english_last,last_top200_ins,journal + subfield,1949124,0.19282331135362885
ins,last,200,1,1,"English, more-established",0.04334549851390994,0.0014474029411224996,0.04050864087819249,0.04618235614962739,ai_use_intro_discussion,english_last,last_top200_ins,journal + subfield,1949124,0.19282331135362885
ins,last,300,0,0,"Non-English, less-established",0.08199001558940433,0.0018768760140219327,0.07831140619847425,0.08566862498033441,ai_use_intro_discussion,english_last,last_top300_ins,journal + subfield,1949124,0.19307149616353025
